name,category,highlights,duration,price
Ooty Scenic Escape,Nature,Botanical Gardens Nilgiri Mountain Railway,5,18000
Tawang Monastery Adventure,Adventure,Tawang Monastery Sela Pass,5,22000
Kolkata Durga Puja Tour,Cultural,Durga Puja Pandals Victoria Memorial,4,15000
Madhya Pradesh Heritage Circuit,Heritage,Khajuraho Orchha Sanchi,6,20000
Mahakaleshwar Ujjain,spiritual,"Mahakaleshwar Temple, Kal Bhairav Temple, Harsiddhi Temple",2,6000
Mahabalipuram Temples,Heritage,"Shore Temple, Arjunaâ€™s Penance, Pancha Rathas",3,10000
Vaishno Devi and Amarnath,spiritual,"Vaishno Devi Temple, Amarnath Cave",8,25000
Kanchipuram and Chennai Temples,spiritual,"Kanchi Kailasanathar Temple, Kapaleeshwarar Temple",5,10000
Jaipur Royal Experience,Cultural,Amber Fort City Palace Hawa Mahal,4,12000
Kumarakom Backwaters Tour,Nature,Backwater Cruise Kumarakom Bird Sanctuary,4,16000
Rishikesh Adventure Activities,Adventure,River Rafting Bungee Jumping Ziplining,5,18000
Bundi Fort and Palace Tour,Heritage,Bundi Fort Palace Sukh Mahal,3,10000
Patiala Heritage and Culture Tour,Cultural,Qila Mubarak Moti Bagh Palace,3,8000
Rajasthan Forts and Palaces Tour,Heritage,Mehrangarh Fort Udaipur Palace Amber Fort,7,25000
Wayanad Hill Station Escape,Nature,Edakkal Caves Pookode Lake,4,15000
Shimla Hill Station Experience,Nature,Mall Road Ridge Shimla Church,4,15000
Jodhpur Blue City Tour,Cultural,Mehrangarh Fort Umaid Bhawan,4,12000
Kullu Valley Trekking,Adventure,Trekking Solang Valley,5,15000
Vishakhapatnam Beach Tour,Beach,Kailasagiri Beach Araku Valley,4,15000
Shirdi Sai Baba Darshan,spiritual,"Sai Baba Temple, Dwarkamai Masjid",3,8000
Kumbh Mela Allahabad,spiritual,"Kumbh Mela, Sangam, Ganga Aarti",4,12000
Dhanaulti Hill Station Escape,Nature,Surkanda Devi Temple Eco Park,4,13000
Khajuraho Dance Festival Tour,Heritage,Khajuraho Temples Dance Festival,4,15000
Mysore and Coorg Tea Tour,Nature,Tea Plantations Abbey Falls,5,18000
Khajjiar Hill Station,Nature,Mini Switzerland of India,4,12000
Rameswar and Dhanushkodi,spiritual,"Ramanathaswamy Temple, Dhanushkodi Beach, Pamban Bridge",4,12000
Sundarbans Wildlife Safari,Nature,Tiger Safari Sundarbans Delta,5,22000
Bikaner Desert Adventure,Adventure,Camel Safari Junagarh Fort,4,12000
Chilika Lake Bird Watching,Nature,Chilika Lake Bird Watching Satapada,3,12000
Darjeeling Himalayan Toy Train,Nature,Toy Train Tiger Hill Batasia Loop,3,7000
Uttarakhand River Rafting,Adventure,River Rafting in Rishikesh,4,10000
Maldives Luxury Escape,Honeymoon,Overwater Villas Candlelight Dinners Snorkeling,5,100000
Varanasi spiritual Journey,spiritual,Ganga Aarti Kashi Vishwanath Temple,3,7000
Khajuraho Temple Tour,Heritage,Kandariya Mahadev Temple Lakshmana Temple,3,8000
Haridwar Ganga Aarti Experience,spiritual,Ganga Aarti Har Ki Pauri,2,4000
Mount Everest Base Camp Trek,Adventure,Everest View Trekking Lukla Namche Bazaar,14,65000
Tiruvannamalai spiritual Retreat,spiritual,Arunachaleswarar Temple Girivalam,3,6000
Shillong and Cherrapunji Tour,Nature,"Elephant Falls, Nohkalikai Falls",6,18000
Rajasthan Royal Maharaja Tour,Heritage,Jaipur Udaipur Jodhpur,8,35000
Rishikesh and Haridwar,spiritual,"Ganga Aarti, Har Ki Pauri, Triveni Ghat",4,10000
Shankaracharya Temple Srinagar,spiritual,"Shankaracharya Temple, Dal Lake",3,10000
Andaman Island Getaway,Beach,Havelock Island Scuba Diving Cellular Jail,7,40000
Kolkata Heritage Walk,Heritage,Victoria Memorial Howrah Bridge Marble Palace,3,7000
Leh Ladakh Motorcycle Trip,Adventure,Khardung La Pangong Lake,10,45000
Vaishno Devi Yatra,spiritual,"Vaishno Devi Temple, Katra, Ardhkuwari",3,8000
Sabarimala Pilgrimage,spiritual,"Sabarimala Temple, Pampa River",4,10000
Brahma Temple Pushkar,spiritual,"Brahma Temple, Pushkar Lake",3,7000
Kodaikanal Hill Station Tour,Nature,Coaker's Walk Bryant Park,4,16000
Madurai Temple Tour,Heritage,Meenakshi Temple Thirumalai Nayakkar Mahal,3,7000
Tiruchirappalli Temples Tour,Heritage,Sri Ranganathaswamy Temple Rock Fort Temple,2,6000
Dwarka and Somnath Pilgrimage,spiritual,"Dwarkadhish Temple, Somnath Temple, Rukmini Temple",5,15000
